id,filename,uri,comment
39,pte_ester.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
40,pte_ether.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
41,pte_five_ring.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
42,pte_has_property.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
43,pte_imine.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
44,pte_ind.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
45,pte_ketone.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
46,pte_methoxy.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
47,pte_methyl.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
48,pte_mutagenic.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
49,pte_nitro.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
50,pte_non_ar_5c_ring.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
51,pte_non_ar_6c_ring.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
52,pte_non_ar_hetero_5_ring.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
53,pte_non_ar_hetero_6_ring.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
54,pte_number.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
55,pte_phenol.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
56,pte_six_ring.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
57,pte_sulfide.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
58,pte_sulfo.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
59,pte_testactive.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
60,pte_testactive_Neg.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
65,biodegradability_atom.csv,https://relational.fit.cvut.cz/dataset/Biodegradability
66,biodegradability_bond.csv,https://relational.fit.cvut.cz/dataset/Biodegradability
67,biodegradability_gmember.csv,https://relational.fit.cvut.cz/dataset/Biodegradability
68,biodegradability_group.csv,https://relational.fit.cvut.cz/dataset/Biodegradability
69,biodegradability_molecule.csv,https://relational.fit.cvut.cz/dataset/Biodegradability
70,muskSmall_molecule.csv,https://relational.fit.cvut.cz/dataset/Musk
71,muskSmall_conformation.csv,https://relational.fit.cvut.cz/dataset/Musk
78,countries_metadatacountries.csv,https://relational.fit.cvut.cz/
79,countries_data.csv,https://relational.fit.cvut.cz/
80,countries_indicators.csv,https://relational.fit.cvut.cz/
81,countries_target.csv,https://relational.fit.cvut.cz/
82,world_city.csv,https://relational.fit.cvut.cz/
83,world_country.csv,https://relational.fit.cvut.cz/
84,world_countryLanguage.csv,https://relational.fit.cvut.cz/
85,AdventureWorks2014_CountryRegion.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/AdventureWorks2014.svg
86,AdventureWorks2014_CountryRegionCurrency.csv
87,AdventureWorks2014_CreditCard.csv
88,AdventureWorks2014_culture.csv
89,AdventureWorks2014_currency.csv
90,AdventureWorks2014_currencyRate.csv
